meta_id,post_id,"meta_key","meta_value"
2613,322,"primary_promo_0_headline","Find a session for your child"
2614,322,"_primary_promo_0_headline","field_570417db3bf68"
2615,322,"primary_promo_0_description","Whether your camper is six and hesitant to leave the nest, or fifteen and ready to fly the coop, we have a camp experience designed to help them take flight."
2616,322,"_primary_promo_0_description","field_570418143bf69"
2617,322,"primary_promo_0_link_label","View Schedule"
2618,322,"_primary_promo_0_link_label","field_5704196c6f372"
2619,322,"primary_promo_0_link","24"
2620,322,"_primary_promo_0_link","field_5704186a3bf6b"
2621,322,"primary_promo","2"
2622,322,"_primary_promo","field_570417c73bf67"
2623,416,"_wp_attached_file","2016/04/campfire.png"
2624,416,"_wp_attachment_metadata","a:5:{s:5:\"width\";i:190;s:6:\"height\";i:145;s:4:\"file\";s:20:\"2016/04/campfire.png\";s:5:\"sizes\";a:1:{s:9:\"thumbnail\";a:4:{s:4:\"file\";s:20:\"campfire-150x145.png\";s:5:\"width\";i:150;s:6:\"height\";i:145;s:9:\"mime-type\";s:9:\"image/png\";}}s:10:\"image_meta\";a:12:{s:8:\"aperture\";s:1:\"0\";s:6:\"credit\";s:0:\"\";s:6:\"camera\";s:0:\"\";s:7:\"caption\";s:0:\"\";s:17:\"created_timestamp\";s:1:\"0\";s:9:\"copyright\";s:0:\"\";s:12:\"focal_length\";s:1:\"0\";s:3:\"iso\";s:1:\"0\";s:13:\"shutter_speed\";s:1:\"0\";s:5:\"title\";s:0:\"\";s:11:\"orientation\";s:1:\"0\";s:8:\"keywords\";a:0:{}}}"
2625,416,"_wp_attachment_image_alt","Camp Life"
2626,417,"primary_promo_0_image","412"
2627,417,"_primary_promo_0_image","field_5704183f3bf6a"
2628,417,"primary_promo_0_headline","Find a session for your child"
